Feature,Low_Mean,Low_SD,Mod_Mean,Mod_SD,High_Mean,High_SD,p_L_vs_M,p_L_vs_H,p_M_vs_H
mouth_aperture_acc_std,4.79524301506002,1.579694483267275,4.6556473928652276,1.1552259840051724,4.924999325741865,1.5359130547641613,0.02306103407822524,0.03896375372030492,1.2878341635325086e-06
pupil_dx_vel_rms,0.06726498578398245,0.04243522319843211,0.059360346073619515,0.014130079753382135,0.07255282197264935,0.11973809074092592,0.06540670146406291,0.2943704146553716,0.0005806376341737085
pupil_dx_vel_mean,-1.971230773491111e-05,0.00041699423280340997,-5.877739743187656e-06,0.00011998107579072718,8.912749358260128e-05,0.001960936098745073,0.973327752268965,0.19102995001912448,0.2821773563515386
pupil_dx_vel_std,0.06726458660793344,0.042433727805031296,0.059360227404291525,0.01413006451476286,0.07255155926700799,0.11972276897510775,0.06537265965488226,0.29439288478155734,0.0005802554011136163
pupil_dx_acc_rms,2.3691767569931055,1.531530069610002,2.0752207109677467,0.5288464933656409,2.388473334584766,2.2378412065979423,4.914202669226153e-05,0.9568530062772085,1.368442770510736e-05
pupil_dx_acc_mean,-0.001300921064475184,0.014329146496619148,-0.0004931573492657324,0.0026261836483750974,0.0019710090160029335,0.024424524440316335,0.6271653506281356,0.000593786659954576,0.01403606778253863
pupil_dx_acc_std,2.3691641709411697,1.531480783096459,2.075219352066286,0.5288450869708856,2.388456617524444,2.237724900259638,4.913175171983308e-05,0.9568669347821208,1.3684428907922985e-05
pupil_dy_vel_rms,0.1412814726909377,0.05467425346842606,0.13328894333839283,0.0256176722567021,0.14335234056809978,0.0812661536975024,0.006230407221594292,0.7075613055233574,0.0003510223639943133
pupil_dy_vel_mean,2.0568236389929804e-05,0.0004365664037401276,1.2098940080706996e-05,0.0003114989579262743,0.0001302101661087336,0.0015430565079551503,0.9840674837629837,0.07052322482000073,0.04609951017517988
pupil_dy_vel_std,0.14128098738466702,0.05467365493645858,0.1332885803111929,0.02561766321380104,0.1433509265120054,0.081253902849343,0.006223152765886808,0.7077159927157015,0.0003508718724360982
pupil_dy_acc_rms,4.748502244682137,1.957414603345998,4.445741052130687,0.8191823948147462,4.691190518086263,1.8755075842098385,2.4452887080084196e-05,0.6752133758237537,0.0008796788867243555
pupil_dy_acc_mean,0.005842431185182625,0.016875663216698034,0.003994536799617185,0.007298414144840378,0.00963443485640174,0.06639252141701807,0.6457711925121365,0.16145128565774314,0.01820902437704308
pupil_dy_acc_std,4.748479893663587,1.957377777523009,4.445733575259139,0.8191803037243296,4.691086257229374,1.874569750100126,2.4309217858342613e-05,0.674279134733949,0.0008804043591023047
pupil_metric_vel_rms,0.09973704865908263,0.06268639555709256,0.0869684728916058,0.02152243108946796,0.10205727837277713,0.12767781331590541,0.0028780281196858493,0.8214515190850181,0.00030630076071336276
pupil_metric_vel_mean,-3.963704093098773e-05,0.00046039896074697345,1.119393741990403e-05,0.000173340770425881,-0.00011164797071183617,0.0018856140453829592,0.6671486788957898,0.44588721326768066,0.09640190593893483
pupil_metric_vel_std,0.09973659287500522,0.06268534821493933,0.08696830294826079,0.02152241587272139,0.10205607143628176,0.12766480939277547,0.0028755273594456288,0.8215243534450276,0.0003061584502183079
pupil_metric_acc_rms,3.5608691109075146,2.326514222403206,3.09581029675694,0.7719088714739153,3.456246952050778,2.55984107873402,1.5800475272609305e-07,0.4375954775871833,7.287710751491261e-05
pupil_metric_acc_mean,0.0015476410836328255,0.0172842838884875,0.0017853102702380754,0.004052426698404555,-0.005423462427713209,0.08529163048561104,0.9955545010718658,0.02328501829197338,0.017899993785356894
pupil_metric_acc_std,3.560849611379312,2.3264714474827692,3.09580721500226,0.7719081147790873,3.456125511298666,2.5585790805689355,1.5640173089970233e-07,0.4366253818612942,7.281867429742572e-05
